failure_id,failure_start,failure_end,first_alert,detected,flagged_early,lead_time_hours,detection_delay_hours,model
F1,2020-04-18 00:00:00,2020-04-18 23:59:00,2020-04-18 01:22:00,True,False,0.0,1.3666666666666667,control_limits
F2,2020-05-29 23:30:00,2020-05-30 06:00:00,2020-05-30 00:46:00,True,False,0.0,1.2666666666666666,control_limits
F3,2020-06-05 10:00:00,2020-06-07 14:30:00,2020-06-03 11:39:00,True,True,46.35,0.0,control_limits
F4,2020-07-15 14:30:00,2020-07-15 19:00:00,2020-07-13 04:15:00,True,True,58.25,0.0,control_limits
F1,2020-04-18 00:00:00,2020-04-18 23:59:00,2020-04-18 01:23:00,True,False,0.0,1.3833333333333333,isolation_forest
F2,2020-05-29 23:30:00,2020-05-30 06:00:00,2020-05-30 03:15:00,True,False,0.0,3.75,isolation_forest
F3,2020-06-05 10:00:00,2020-06-07 14:30:00,2020-06-05 13:10:00,True,False,0.0,3.1666666666666665,isolation_forest
F4,2020-07-15 14:30:00,2020-07-15 19:00:00,2020-07-14 03:16:00,True,True,35.233333333333334,0.0,isolation_forest
F1,2020-04-18 00:00:00,2020-04-18 23:59:00,2020-04-18 01:28:00,True,False,0.0,1.4666666666666666,lstm_autoencoder
F2,2020-05-29 23:30:00,2020-05-30 06:00:00,2020-05-30 00:30:00,True,False,0.0,1.0,lstm_autoencoder
F3,2020-06-05 10:00:00,2020-06-07 14:30:00,2020-06-03 11:26:00,True,True,46.56666666666667,0.0,lstm_autoencoder
F4,2020-07-15 14:30:00,2020-07-15 19:00:00,2020-07-15 17:11:00,True,False,0.0,2.683333333333333,lstm_autoencoder
